Fecha,DDA,Precipitación,ETo,Riego Control,Riego RDI45,Riego RDI30,Riego BOSCH,Estado Control_1,Estado Control_2,Estado Control_3,Estado RDI45_1,Estado RDI45_2,Estado RDI45_3,Estado RDI30_1,Estado RDI30_2,Estado RDI30_3,Estado BOSCH_1,Estado BOSCH_2,Estado BOSCH_3
2019-04-01,91,11.09,14.76,10.88,10.3,10.36,10.25,,,,,,,,,,,,
2019-04-02,92,0.0,17.04,10.88,10.3,10.36,10.25,,,,,,,,,,,,
2019-04-03,93,0.0,17.96,10.88,10.3,10.36,10.25,,,,,,,,,,,,
2019-04-04,94,0.0,17.45,10.88,10.3,10.36,10.25,,,,,,,,,,,,
2019-04-05,95,11.88,18.78,10.88,10.3,10.36,10.25,,,,,,,,,,,,
2019-04-06,96,7.722,19.39,10.93,12.89,12.03,10.1,,,,,,,,,,,,
2019-04-07,97,5.346,19.32,10.93,12.89,12.03,10.1,,,,,,,,,,,,
2019-04-08,98,4.158,6.94,10.93,12.89,12.03,10.1,,,,,,,,,,,,
2019-04-09,99,0.0,10.99,10.93,12.89,12.03,10.1,,,,,,,,,,,,
2019-04-10,100,0.0,11.57,10.93,12.89,12.03,10.1,,,,,,,,,,,,
2019-04-11,101,0.0,12.18,10.93,12.89,12.03,10.1,,,,,,,,,,,,
2019-04-12,102,0.0,13.74,10.93,12.89,12.03,10.1,,,,,,,,,,,,
2019-04-13,103,0.0,15.99,10.93,12.89,12.03,10.1,,,,,,,,,,,,
2019-04-14,104,0.0,15.0,10.93,12.89,12.03,10.1,,,,,,,,,,,,
2019-04-15,105,0.0,19.05,13.36,12.38,12.67,12.59,,,,,,,,,,,,
2019-04-16,106,0.0,16.13,13.36,12.38,12.67,12.59,,,,,,,,,,,,
2019-04-17,107,0.0,10.17,13.36,12.38,12.67,12.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-18,108,10.89,8.95,13.36,12.38,12.67,12.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-19,109,4.95,11.77,13.36,12.38,12.67,12.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-20,110,0.0,10.65,13.36,12.38,12.67,12.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-21,111,0.0,10.07,13.36,12.38,12.67,12.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-22,112,0.0,17.25,13.36,12.38,12.67,12.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-23,113,11.88,11.33,13.36,12.38,12.67,12.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-24,114,5.148,9.39,13.36,12.38,12.67,12.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-25,115,3.564,10.58,13.36,12.38,12.67,12.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-26,116,0.0,13.64,13.36,12.38,12.67,12.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-27,117,0.0,20.82,13.36,12.38,12.67,12.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-28,118,0.0,20.24,13.36,12.38,12.67,12.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-29,119,0.0,17.35,13.36,12.38,12.67,12.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-30,120,0.0,19.36,18.86,18.34,18.5,18.58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-01,121,0.0,17.85,18.86,18.34,18.5,18.58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-02,122,0.0,18.87,18.86,18.34,18.5,18.58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-03,123,0.0,18.96,18.86,18.34,18.5,18.58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-04,124,0.0,11.23,18.86,18.34,18.5,18.58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-05,125,0.0,13.64,18.86,18.34,18.5,18.58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-06,126,0.0,14.28,18.86,18.34,18.5,18.58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-07,127,0.0,16.84,15.72,12.3,10.16,15.51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-08,128,0.0,14.5,15.72,12.3,10.16,15.51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-09,129,0.0,13.17,15.72,12.3,10.16,15.51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-10,130,0.0,17.64,15.72,12.3,10.16,15.51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-11,131,0.0,21.73,15.72,12.3,10.16,15.51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-12,132,0.0,20.25,15.72,12.3,10.16,15.51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-13,133,0.0,21.76,15.72,12.3,10.16,15.51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-14,134,0.0,19.55,15.6,12.3,10.16,15.51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-15,135,0.0,23.89,15.6,12.3,10.16,15.51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-16,136,0.0,24.81,15.6,10.74,9.93,4.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-17,137,0.0,18.04,15.6,10.74,9.93,4.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-18,138,0.0,18.34,15.6,10.74,9.93,4.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-19,139,0.0,18.75,15.6,10.74,9.93,4.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-20,140,0.0,20.53,15.6,10.74,9.93,4.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-21,141,0.0,19.7,19.19,10.74,9.93,4.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-22,142,0.0,19.51,19.19,10.74,9.93,4.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-23,143,0.0,20.96,19.19,6.43,5.91,1.59,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
2019-05-24,144,0.0,20.47,19.19,6.43,5.91,1.59,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0
2019-05-25,145,0.0,20.28,19.19,6.43,5.91,1.59,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
2019-05-26,146,0.0,20.35,19.19,6.43,5.91,1.59,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
2019-05-27,147,0.0,23.36,19.19,6.43,5.91,1.59,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0
2019-05-28,148,0.0,22.5,9.25,6.43,5.91,1.59,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0
2019-05-29,149,0.0,22.5,9.25,6.43,5.91,1.59,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0
2019-05-30,150,0.0,22.75,9.25,10.84,10.75,2.34,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0
2019-05-31,151,0.0,27.83,9.25,10.84,10.75,2.34,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
2019-06-01,152,0.0,22.68,9.25,10.84,10.75,2.34,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
2019-06-02,153,0.0,21.06,9.25,10.84,10.75,2.34,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
2019-06-03,154,0.0,21.77,9.25,10.84,10.75,2.34,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
2019-06-04,155,0.0,21.97,37.54,35.1,35.63,2.34,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
2019-06-05,156,0.0,19.45,28.88,14.5,11.19,13.74,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0
2019-06-06,157,0.0,19.48,28.88,14.5,11.19,13.74,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
2019-06-07,158,0.0,17.32,28.88,14.5,11.19,13.74,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
2019-06-08,159,0.0,20.1,28.88,14.5,11.19,13.74,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
2019-06-09,160,0.0,22.57,28.88,14.5,11.19,13.74,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
2019-06-10,161,0.0,20.07,28.88,14.5,11.19,13.74,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
2019-06-11,162,0.0,18.97,13.16,11.45,6.74,16.51,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
2019-06-12,163,0.0,18.57,13.16,11.45,6.74,16.51,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
2019-06-13,164,0.0,18.12,13.16,11.45,6.74,16.51,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
2019-06-14,165,0.0,18.4,13.16,11.45,6.74,16.51,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
2019-06-15,166,0.0,18.34,13.16,11.45,6.74,16.51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-06-16,167,0.0,16.95,13.16,11.45,6.74,16.51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-06-17,168,0.0,18.8,13.16,11.45,6.74,16.51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-06-18,169,0.0,16.58,15.72,12.26,9.37,11.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-06-19,170,0.0,17.69,15.72,12.26,9.37,11.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-06-20,171,0.0,18.43,15.72,12.26,9.37,11.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-06-21,172,0.0,19.99,15.72,12.26,9.37,11.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-06-22,173,0.0,20.55,15.72,12.26,9.37,11.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-06-23,174,0.0,18.31,15.72,12.26,9.37,11.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-06-24,175,0.0,17.92,15.72,12.26,9.37,11.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-06-25,176,0.0,19.11,16.99,13.76,10.13,11.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-06-26,177,0.0,18.14,16.99,13.76,10.13,11.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2019-06-27,178,0.0,17.12,16.99,13.76,10.13,11.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2019-06-28,179,0.0,19.96,16.99,13.76,10.13,11.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2019-06-29,180,0.0,21.04,16.99,13.76,10.13,11.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2019-06-30,181,0.0,17.1,16.99,13.76,10.13,11.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2019-07-01,182,0.0,16.76,16.99,13.76,10.13,11.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2019-07-02,183,0.0,17.4,17.92,14.94,11.37,21.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2019-07-03,184,0.0,14.44,17.92,14.94,11.37,21.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2019-07-04,185,0.0,15.56,17.92,14.94,11.37,21.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2019-07-05,186,0.0,17.68,17.92,14.94,11.37,21.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2019-07-06,187,0.0,16.25,17.92,14.94,11.37,21.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2019-07-07,188,0.0,18.12,17.92,14.94,11.37,21.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2019-07-08,189,0.0,17.12,17.92,14.94,11.37,21.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2019-07-09,190,0.0,16.79,15.31,14.94,11.37,21.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2019-07-10,191,0.0,21.05,15.31,14.94,11.37,21.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
2019-07-11,192,0.0,22.22,15.31,13.55,9.7,13.34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0
2019-07-12,193,0.0,12.6,15.31,13.55,9.7,13.34,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0
